activity_id,loan_id,activity_date,channel,outcome,cost_zar,arrears_bucket_at_time
CA-810489,LN-505477,2026-02-11,SMS,Number unobtainable,1.25,31-60
CA-810490,LN-505477,2026-02-11,SMS,Promise to pay,1.13,31-60
CA-810491,LN-505518,2026-02-07,Call,Number unobtainable,27.5,61-90
CA-810492,LN-505518,2026-02-27,Letter,No answer,42.45,61-90
CA-810493,LN-505560,2026-02-11,Letter,Refused,49.61,90+
CA-810494,LN-505560,2026-02-18,Field,Partial payment,311.87,90+
CA-810495,LN-505560,2026-02-16,Field,Number unobtainable,297.03,90+
CA-810496,LN-505579,2026-02-13,Call,Refused,28.13,90+
CA-810497,LN-505579,2026-02-05,Field,Refused,371.65,90+
CA-810498,LN-505579,2026-02-07,Call,Left message,27.08,90+
CA-810499,LN-505579,2026-02-19,Letter,Partial payment,49.43,90+
CA-810500,LN-505579,2026-02-21,Call,Partial payment,27.28,90+
CA-810501,LN-505623,2026-02-13,Field,Left message,342.77,61-90
CA-810502,LN-505623,2026-02-22,Call,Number unobtainable,29.25,61-90
CA-810503,LN-505626,2026-02-09,Call,Number unobtainable,26.22,90+
CA-810504,LN-505626,2026-02-19,Field,Paid in full,300.72,90+
CA-810505,LN-505632,2026-02-17,Letter,Number unobtainable,49.13,61-90
CA-810506,LN-505640,2026-02-07,Call,Left message,26.43,61-90
CA-810507,LN-505640,2026-02-10,Field,Promise to pay,348.69,61-90
CA-810508,LN-505663,2026-02-27,Call,Partial payment,26.99,1-30
CA-810509,LN-505672,2026-02-15,Call,No answer,26.3,61-90
CA-810510,LN-505677,2026-02-23,Call,No answer,29.6,1-30
CA-810511,LN-505682,2026-02-04,SMS,Left message,1.14,1-30
CA-810512,LN-505707,2026-02-15,Field,Number unobtainable,290.82,61-90
CA-810513,LN-505734,2026-02-12,SMS,Refused,1.29,1-30
CA-810514,LN-505736,2026-02-06,SMS,Left message,1.02,31-60
CA-810515,LN-505739,2026-02-26,SMS,Refused,1.16,1-30
CA-810516,LN-505746,2026-02-21,SMS,Left message,1.16,1-30
CA-810517,LN-505754,2026-02-11,SMS,Refused,1.35,1-30
CA-810518,LN-505762,2026-02-21,Field,Refused,293.07,90+
CA-810519,LN-505762,2026-02-26,Call,Left message,30.25,90+
CA-810520,LN-505773,2026-02-08,Field,Promise to pay,281.91,90+
CA-810521,LN-505773,2026-02-15,Call,Number unobtainable,29.19,90+
CA-810522,LN-505774,2026-02-19,Letter,Left message,50.27,90+
CA-810523,LN-505774,2026-02-13,Field,Number unobtainable,335.51,90+
CA-810524,LN-505779,2026-02-23,Field,Left message,347.27,90+
CA-810525,LN-505779,2026-02-09,Call,Paid in full,30.1,90+
CA-810526,LN-505780,2026-02-07,Letter,No answer,43.94,90+
CA-810527,LN-505780,2026-02-23,Call,Refused,25.63,90+
CA-810528,LN-505780,2026-02-21,Call,Left message,29.67,90+
CA-810529,LN-505780,2026-02-17,Field,Promise to pay,356.57,90+
CA-810530,LN-505786,2026-02-23,Letter,Number unobtainable,51.51,61-90
CA-810531,LN-505794,2026-02-14,SMS,Number unobtainable,1.3,1-30
CA-810532,LN-505804,2026-02-27,Field,No answer,286.8,61-90
CA-810533,LN-505804,2026-02-22,Field,Refused,297.7,61-90
CA-810534,LN-505804,2026-02-27,Letter,Refused,48.61,61-90
CA-810535,LN-505811,2026-02-04,SMS,Refused,1.12,31-60
CA-810536,LN-505811,2026-02-14,Call,Left message,27.63,31-60
CA-810537,LN-505843,2026-02-18,Call,Refused,26.47,1-30
CA-810538,LN-505860,2026-02-24,Call,No answer,24.71,31-60
CA-810539,LN-505860,2026-02-05,SMS,Refused,1.35,31-60
CA-810540,LN-505876,2026-02-03,Letter,Number unobtainable,47.35,61-90
CA-810541,LN-505876,2026-02-11,Field,Promise to pay,316.52,61-90
CA-810542,LN-505905,2026-02-26,Field,No answer,331.41,61-90
CA-810543,LN-505922,2026-02-22,Call,No answer,27,31-60
CA-810544,LN-505922,2026-02-07,SMS,Refused,1.23,31-60
CA-810545,LN-505931,2026-02-26,Call,Paid in full,27.62,61-90
CA-810546,LN-505931,2026-02-06,Call,Partial payment,29.11,61-90
CA-810547,LN-505931,2026-02-08,Call,Left message,25.54,61-90
CA-810548,LN-505953,2026-02-14,Call,Left message,30.95,61-90
CA-810549,LN-505953,2026-02-19,Field,Left message,300,61-90
CA-810550,LN-505953,2026-02-24,Call,Paid in full,27.68,61-90
CA-810551,LN-505961,2026-02-14,Call,No answer,29.67,61-90
CA-810552,LN-505961,2026-02-28,Letter,Refused,45.53,61-90
CA-810553,LN-505961,2026-02-16,Field,Number unobtainable,335.52,61-90
CA-810554,LN-505984,2026-02-25,Letter,No answer,52.54,61-90
CA-810555,LN-505994,2026-02-24,Call,No answer,31.61,1-30
CA-810556,LN-505997,2026-02-25,Call,Partial payment,25.82,61-90
CA-810557,LN-505997,2026-02-16,Call,Left message,30.24,61-90
CA-810558,LN-506017,2026-02-25,SMS,Refused,1.26,1-30
CA-810559,LN-506055,2026-02-16,Call,Number unobtainable,26.8,31-60
CA-810560,LN-506056,2026-02-24,SMS,Left message,1.17,1-30
CA-810561,LN-506100,2026-02-12,Call,Promise to pay,24.85,90+
CA-810562,LN-506100,2026-02-20,Letter,Left message,34.11,90+
CA-810563,LN-506100,2026-02-23,Letter,Refused,42.16,90+
CA-810564,LN-506100,2026-02-05,Call,No answer,29.4,90+
CA-810565,LN-506117,2026-02-22,Call,Refused,28.53,90+
CA-810566,LN-506117,2026-02-28,Letter,Refused,46.2,90+
CA-810567,LN-506117,2026-02-28,Field,Paid in full,303.99,90+
CA-810568,LN-506128,2026-02-14,Call,No answer,25.46,90+
CA-810569,LN-506128,2026-02-07,Field,No answer,316.25,90+
CA-810570,LN-506133,2026-02-14,Letter,Number unobtainable,46.45,90+
CA-810571,LN-506133,2026-02-14,Field,Partial payment,336.98,90+
CA-810572,LN-506133,2026-02-13,Call,Number unobtainable,27.56,90+
CA-810573,LN-506133,2026-02-24,Call,Left message,24.72,90+
CA-810574,LN-506133,2026-02-06,Letter,Left message,41.71,90+
CA-810575,LN-506138,2026-02-25,SMS,Refused,1.15,31-60
CA-810576,LN-506146,2026-02-26,Letter,No answer,43.07,61-90
CA-810577,LN-506208,2026-02-25,SMS,Refused,1.19,1-30
CA-810578,LN-506231,2026-02-23,Call,Left message,26.71,31-60
CA-810579,LN-506231,2026-02-10,SMS,Left message,1.15,31-60
CA-810580,LN-506241,2026-02-03,Field,Partial payment,299.97,90+
CA-810581,LN-506241,2026-02-04,Field,No answer,301.35,90+
CA-810582,LN-506241,2026-02-22,Call,Refused,27.39,90+
CA-810583,LN-506241,2026-02-14,Letter,No answer,52.86,90+
CA-810584,LN-506248,2026-02-28,Call,Number unobtainable,25.79,61-90
CA-810585,LN-506248,2026-02-05,Field,No answer,318.76,61-90
CA-810586,LN-506248,2026-02-22,Call,Promise to pay,27.95,61-90
CA-810587,LN-506258,2026-02-07,Field,No answer,330.81,61-90
CA-810588,LN-506271,2026-02-07,Field,Number unobtainable,306.06,90+
CA-810589,LN-506271,2026-02-14,Call,Left message,25.29,90+
CA-810590,LN-506271,2026-02-18,Field,Refused,270.56,90+
CA-810591,LN-506295,2026-02-06,SMS,Left message,1.32,1-30
CA-810592,LN-506321,2026-02-27,Letter,Refused,47.35,90+
CA-810593,LN-506321,2026-02-11,Call,Number unobtainable,28.45,90+
CA-810594,LN-506321,2026-02-04,Letter,Refused,43.29,90+
CA-810595,LN-506321,2026-02-06,Call,Refused,24.32,90+
CA-810596,LN-506321,2026-02-24,Field,Refused,336.46,90+
CA-810597,LN-506358,2026-02-08,SMS,Left message,1.21,1-30
CA-810598,LN-506367,2026-02-17,Call,Number unobtainable,25.25,31-60
CA-810599,LN-506373,2026-02-26,Field,No answer,254.2,61-90
CA-810600,LN-506384,2026-02-20,Field,No answer,247.14,90+
CA-810601,LN-506384,2026-02-11,Call,Refused,27.67,90+
CA-810602,LN-506384,2026-02-06,Field,No answer,305.55,90+
CA-810603,LN-506386,2026-02-17,Letter,Refused,49.83,61-90
CA-810604,LN-506386,2026-02-19,Call,Paid in full,26.01,61-90
CA-810605,LN-506395,2026-02-06,Call,No answer,28.79,61-90
CA-810606,LN-506395,2026-02-15,Call,Refused,24.34,61-90
CA-810607,LN-506429,2026-02-03,Call,No answer,30.21,90+
CA-810608,LN-506429,2026-02-10,Letter,Left message,46.28,90+
CA-810609,LN-506429,2026-02-05,Letter,Paid in full,48.32,90+
CA-810610,LN-506429,2026-02-18,Call,Left message,25.34,90+
CA-810611,LN-506429,2026-02-10,Letter,Refused,47.46,90+
CA-810612,LN-506430,2026-02-21,Field,Refused,323.2,61-90
CA-810613,LN-506434,2026-02-06,Field,Partial payment,287.8,90+
CA-810614,LN-506434,2026-02-10,Field,Partial payment,332.25,90+
CA-810615,LN-506434,2026-02-22,Letter,Left message,49.67,90+
CA-810616,LN-506451,2026-02-05,Call,Refused,26.88,61-90
CA-810617,LN-506451,2026-02-12,Field,Refused,329.02,61-90
CA-810618,LN-506451,2026-02-14,Field,No answer,296.33,61-90
CA-810619,LN-506457,2026-02-27,SMS,Number unobtainable,1.31,1-30
CA-810620,LN-506492,2026-02-06,SMS,Number unobtainable,1.24,31-60
CA-810621,LN-506492,2026-02-18,SMS,Refused,1.23,31-60
CA-810622,LN-506495,2026-02-23,Call,Left message,26.73,1-30
CA-810623,LN-506497,2026-02-22,SMS,Paid in full,1.22,31-60
CA-810624,LN-506515,2026-02-19,Call,Refused,28.9,90+
CA-810625,LN-506515,2026-02-23,Letter,Partial payment,43.8,90+
CA-810626,LN-506515,2026-02-28,Call,Refused,25.71,90+
CA-810627,LN-506515,2026-02-08,Call,No answer,28.59,90+
CA-810628,LN-506535,2026-02-04,SMS,No answer,1.17,1-30
CA-810629,LN-506543,2026-02-18,Call,Left message,24.05,61-90
CA-810630,LN-506554,2026-02-11,Call,No answer,25.52,61-90
CA-810631,LN-506554,2026-02-19,Field,Promise to pay,318.91,61-90
CA-810632,LN-506554,2026-02-25,Letter,Left message,50.96,61-90
CA-810633,LN-506567,2026-02-08,Field,No answer,370.41,61-90
CA-810634,LN-506567,2026-02-16,Letter,No answer,50.18,61-90
CA-810635,LN-506567,2026-02-15,Call,Refused,28.05,61-90
CA-810636,LN-506568,2026-02-18,Letter,Number unobtainable,48.16,90+
CA-810637,LN-506568,2026-02-04,Call,Left message,29.78,90+
CA-810638,LN-506575,2026-02-20,Field,Refused,306.39,90+
CA-810639,LN-506575,2026-02-26,Call,Partial payment,27.8,90+
CA-810640,LN-506575,2026-02-20,Call,No answer,29.78,90+
CA-810641,LN-506575,2026-02-13,Call,No answer,30.06,90+
CA-810642,LN-506575,2026-02-09,Call,No answer,23.91,90+
CA-810643,LN-506594,2026-02-22,Call,No answer,26.5,31-60
CA-810644,LN-506604,2026-02-26,SMS,Refused,1.02,31-60
CA-810645,LN-506608,2026-02-09,Field,Refused,336.39,90+
CA-810646,LN-506608,2026-02-26,Call,No answer,25.76,90+
CA-810647,LN-506608,2026-02-24,Field,Refused,283.78,90+
CA-810648,LN-506608,2026-02-06,Call,Refused,26.59,90+
CA-810649,LN-506618,2026-02-06,Call,Number unobtainable,30.03,61-90
CA-810650,LN-506618,2026-02-28,Call,Left message,29.49,61-90
CA-810651,LN-506623,2026-02-05,SMS,Number unobtainable,1.18,1-30
CA-810652,LN-506633,2026-02-06,Call,Paid in full,27.99,61-90
CA-810653,LN-506633,2026-02-25,Call,Promise to pay,31.75,61-90
CA-810654,LN-506682,2026-02-23,Call,Number unobtainable,27.37,1-30
CA-810655,LN-506687,2026-02-04,Call,No answer,25.57,90+
CA-810656,LN-506687,2026-02-22,Field,Refused,366.37,90+
CA-810657,LN-506687,2026-02-25,Letter,Number unobtainable,51.14,90+
CA-810658,LN-506687,2026-02-24,Field,Refused,311.61,90+
CA-810659,LN-506692,2026-02-13,Call,No answer,28.23,90+
CA-810660,LN-506692,2026-02-19,Letter,Left message,52.2,90+
CA-810661,LN-506692,2026-02-06,Call,No answer,25.1,90+
CA-810662,LN-506692,2026-02-08,Call,Number unobtainable,27.48,90+
CA-810663,LN-506692,2026-02-05,Call,Number unobtainable,27.66,90+
CA-810664,LN-506699,2026-02-04,Call,Refused,26.67,61-90
CA-810665,LN-506699,2026-02-20,Call,Partial payment,27.28,61-90
CA-810666,LN-506699,2026-02-12,Call,Left message,30.98,61-90
CA-810667,LN-506703,2026-02-27,Call,Partial payment,29.35,61-90
CA-810668,LN-506703,2026-02-09,Field,Number unobtainable,316.09,61-90
CA-810669,LN-506708,2026-02-21,Call,Left message,24.04,90+
CA-810670,LN-506708,2026-02-28,Call,Partial payment,28.26,90+
CA-810671,LN-506708,2026-02-18,Field,Refused,293.78,90+
CA-810672,LN-506716,2026-02-18,Letter,No answer,43.74,90+
CA-810673,LN-506716,2026-02-27,Field,Refused,315.1,90+
CA-810674,LN-506716,2026-02-19,Call,No answer,26.21,90+
CA-810675,LN-506726,2026-02-08,Field,No answer,318.39,61-90
CA-810676,LN-506726,2026-02-04,Field,Promise to pay,302.88,61-90
CA-810677,LN-506726,2026-02-06,Letter,Refused,49.21,61-90
CA-810678,LN-506743,2026-02-05,SMS,No answer,1.22,1-30
CA-810679,LN-506761,2026-02-03,Field,Paid in full,331.98,61-90
CA-810680,LN-506761,2026-02-06,Field,Refused,314.11,61-90
CA-810681,LN-506766,2026-02-03,Field,Number unobtainable,301.52,61-90
CA-810682,LN-506766,2026-02-21,Call,Partial payment,26.07,61-90
CA-810683,LN-506766,2026-02-20,Letter,No answer,44.14,61-90
CA-810684,LN-506777,2026-02-13,Call,Number unobtainable,30.92,90+
CA-810685,LN-506777,2026-02-19,Call,Refused,25.72,90+
CA-810686,LN-506777,2026-02-28,Call,No answer,28.37,90+
CA-810687,LN-506781,2026-02-06,Call,Paid in full,29.4,61-90
CA-810688,LN-506786,2026-02-16,Field,Number unobtainable,333.86,61-90
CA-810689,LN-506786,2026-02-19,Call,Left message,27.18,61-90
CA-810690,LN-506786,2026-02-27,Field,Refused,335.39,61-90
CA-810691,LN-506807,2026-02-22,Letter,Refused,49.85,61-90
CA-810692,LN-506807,2026-02-17,Call,Number unobtainable,26.17,61-90
CA-810693,LN-506807,2026-02-17,Letter,Number unobtainable,44.82,61-90
CA-810694,LN-506868,2026-02-10,Field,Promise to pay,300.92,90+
CA-810695,LN-506868,2026-02-21,Call,Left message,29.65,90+
CA-810696,LN-506868,2026-02-18,Call,No answer,31.18,90+
CA-810697,LN-506868,2026-02-04,Call,Promise to pay,29.35,90+
CA-810698,LN-506868,2026-02-20,Call,Left message,30.8,90+
CA-810699,LN-506895,2026-02-10,Letter,Left message,47.55,61-90
CA-810700,LN-506895,2026-02-16,Field,Refused,357.07,61-90
CA-810701,LN-506903,2026-02-07,Call,Promise to pay,28.18,61-90
CA-810702,LN-506903,2026-02-23,Call,Left message,26.52,61-90
CA-810703,LN-506913,2026-02-25,SMS,Refused,1.31,31-60
CA-810704,LN-506913,2026-02-17,Call,Number unobtainable,25.6,31-60
CA-810705,LN-506921,2026-02-06,SMS,Refused,0.99,1-30
CA-810706,LN-506924,2026-02-05,Call,Paid in full,28.18,61-90
CA-810707,LN-506924,2026-02-18,Letter,Left message,44.09,61-90
CA-810708,LN-506949,2026-02-21,Field,Refused,370.96,61-90
CA-810709,LN-506949,2026-02-20,Call,Partial payment,28.02,61-90
CA-810710,LN-506979,2026-02-16,Call,Paid in full,28.01,90+
CA-810711,LN-506979,2026-02-16,Call,Paid in full,25.87,90+
CA-810712,LN-506998,2026-02-14,SMS,Number unobtainable,1.13,1-30
CA-810713,LN-507002,2026-02-07,Letter,Refused,45.38,61-90
CA-810714,LN-507002,2026-02-20,Field,Left message,300.73,61-90
CA-810715,LN-507003,2026-02-19,SMS,Partial payment,1.23,1-30
CA-810716,LN-507008,2026-02-26,SMS,No answer,1.16,31-60
CA-810717,LN-507028,2026-02-12,SMS,No answer,1.34,31-60
CA-810718,LN-507073,2026-02-13,SMS,Left message,1.14,1-30
CA-810719,LN-507080,2026-02-06,SMS,Left message,1.23,1-30
CA-810720,LN-507083,2026-02-12,SMS,No answer,1.13,31-60
CA-810721,LN-507097,2026-02-22,Field,Left message,346.6,61-90
CA-810722,LN-507126,2026-02-04,Field,Number unobtainable,361.44,90+
CA-810723,LN-507126,2026-02-21,Call,Paid in full,27.24,90+
CA-810724,LN-507126,2026-02-15,Letter,No answer,41.65,90+
CA-810725,LN-507127,2026-02-08,Letter,Refused,40.01,61-90
CA-810726,LN-507127,2026-02-13,Call,No answer,24.85,61-90
CA-810727,LN-507132,2026-02-05,Field,Refused,332.83,61-90
CA-810728,LN-507132,2026-02-15,Letter,Number unobtainable,43.56,61-90
CA-810729,LN-507143,2026-02-06,SMS,No answer,1.09,1-30
CA-810730,LN-507145,2026-02-16,SMS,Refused,1.15,1-30
CA-810731,LN-507155,2026-02-12,Call,Refused,25.87,61-90
CA-810732,LN-507155,2026-02-03,Field,Refused,313.79,61-90
CA-810733,LN-507155,2026-02-26,Call,Promise to pay,29.1,61-90
CA-810734,LN-507180,2026-02-14,Call,Partial payment,29.51,1-30
CA-810735,LN-507188,2026-02-15,SMS,Refused,1.3,1-30
CA-810736,LN-507196,2026-02-21,Field,Promise to pay,294.67,61-90
CA-810737,LN-507196,2026-02-14,Letter,Left message,44.84,61-90
CA-810738,LN-507196,2026-02-12,Letter,Left message,51.73,61-90
CA-810739,LN-507203,2026-02-28,SMS,Left message,1.19,31-60
CA-810740,LN-507211,2026-02-19,Call,Number unobtainable,27.06,90+
CA-810741,LN-507211,2026-02-09,Call,Partial payment,33.83,90+
CA-810742,LN-507219,2026-02-14,Call,Number unobtainable,30.22,90+
CA-810743,LN-507219,2026-02-08,Call,No answer,25.84,90+
CA-810744,LN-507219,2026-02-27,Letter,Refused,42.59,90+
CA-810745,LN-507219,2026-02-23,Call,Left message,29.86,90+
CA-810746,LN-507219,2026-02-28,Field,No answer,279.32,90+
CA-810747,LN-507222,2026-02-08,SMS,Left message,1.29,1-30
CA-810748,LN-507236,2026-02-18,Call,Left message,29.07,90+
CA-810749,LN-507236,2026-02-27,Call,Paid in full,30.26,90+
CA-810750,LN-507236,2026-02-11,Call,Promise to pay,25.64,90+
CA-810751,LN-507236,2026-02-12,Call,No answer,24.78,90+
CA-810752,LN-507239,2026-02-28,Field,Partial payment,303.6,90+
CA-810753,LN-507239,2026-02-26,Field,Left message,300.99,90+
CA-810754,LN-507239,2026-02-18,Field,Refused,278.64,90+
CA-810755,LN-507239,2026-02-26,Call,Refused,27.67,90+
CA-810756,LN-507239,2026-02-06,Call,Number unobtainable,28.84,90+
CA-810757,LN-507250,2026-02-21,Call,Number unobtainable,28.26,1-30
CA-810758,LN-507266,2026-02-19,Field,Number unobtainable,298.42,90+
CA-810759,LN-507266,2026-02-23,Call,No answer,30.64,90+
CA-810760,LN-507281,2026-02-26,Letter,No answer,40.37,61-90
CA-810761,LN-507281,2026-02-21,Field,Left message,335.11,61-90
CA-810762,LN-507281,2026-02-12,Field,Refused,288.53,61-90
CA-810763,LN-507286,2026-02-27,SMS,No answer,1.15,1-30
CA-810764,LN-507291,2026-02-06,Call,Partial payment,28.61,31-60
CA-810765,LN-507300,2026-02-09,Call,Paid in full,26.24,90+
CA-810766,LN-507300,2026-02-05,Field,Refused,316.67,90+
CA-810767,LN-507300,2026-02-23,Call,Left message,26.53,90+
CA-810768,LN-507310,2026-02-13,Field,Number unobtainable,301.06,61-90
CA-810769,LN-507310,2026-02-13,Field,Paid in full,361.09,61-90
CA-810770,LN-507352,2026-02-28,SMS,Refused,1.12,31-60
CA-810771,LN-507352,2026-02-17,SMS,Number unobtainable,1.26,31-60
CA-810772,LN-507356,2026-02-12,SMS,Refused,1.32,31-60
CA-810773,LN-507357,2026-02-18,SMS,Refused,1.18,1-30
CA-810774,LN-507378,2026-02-03,Letter,Left message,48.99,90+
CA-810775,LN-507378,2026-02-07,Call,Promise to pay,29.45,90+
CA-810776,LN-507378,2026-02-09,Field,Left message,314.25,90+
CA-810777,LN-507378,2026-02-08,Call,Promise to pay,27.48,90+
CA-810778,LN-507378,2026-02-16,Call,Refused,24.59,90+
CA-810779,LN-507380,2026-02-20,SMS,No answer,1.23,1-30
CA-810780,LN-507384,2026-02-26,SMS,No answer,1.17,31-60
CA-810781,LN-507384,2026-02-20,SMS,Left message,1.15,31-60
CA-810782,LN-507404,2026-02-16,SMS,Left message,1.27,1-30
CA-810783,LN-507441,2026-02-18,SMS,Number unobtainable,1.23,31-60
CA-810784,LN-507441,2026-02-25,Call,Number unobtainable,28.44,31-60
CA-810785,LN-507443,2026-02-22,Letter,Refused,46.05,90+
CA-810786,LN-507443,2026-02-22,Letter,No answer,51.71,90+
CA-810787,LN-507443,2026-02-22,Field,No answer,326.15,90+
CA-810788,LN-507443,2026-02-18,Field,Refused,311.55,90+
CA-810789,LN-507446,2026-02-09,SMS,Left message,1.15,1-30
CA-810790,LN-507454,2026-02-17,SMS,Paid in full,1.21,31-60
CA-810791,LN-507454,2026-02-12,Call,Refused,29.12,31-60
CA-810792,LN-507461,2026-02-13,Call,Left message,27.6,61-90
CA-810793,LN-507471,2026-02-14,Letter,No answer,43.94,90+
CA-810794,LN-507471,2026-02-25,Call,Promise to pay,27.44,90+
CA-810795,LN-507471,2026-02-25,Field,Left message,307.7,90+
CA-810796,LN-507471,2026-02-09,Call,Promise to pay,29.21,90+
CA-810797,LN-507471,2026-02-05,Field,Paid in full,331.78,90+
CA-810798,LN-507479,2026-02-05,Letter,Paid in full,48.01,90+
CA-810799,LN-507479,2026-02-11,Call,Left message,24.67,90+
CA-810800,LN-507479,2026-02-03,Field,Promise to pay,308.63,90+
CA-810801,LN-507479,2026-02-03,Call,No answer,25.81,90+
CA-810802,LN-507479,2026-02-20,Field,Refused,326.22,90+
CA-810803,LN-507510,2026-02-12,Field,Number unobtainable,289.58,61-90
CA-810804,LN-507534,2026-02-03,SMS,No answer,1.25,31-60
CA-810805,LN-507545,2026-02-06,Call,Left message,30.84,61-90
CA-810806,LN-507545,2026-02-09,Call,No answer,29.19,61-90
CA-810807,LN-507580,2026-02-12,Letter,Paid in full,42.56,61-90
CA-810808,LN-507580,2026-02-16,Call,No answer,31.11,61-90
CA-810809,LN-507580,2026-02-26,Call,Number unobtainable,26.1,61-90
CA-810810,LN-507604,2026-02-16,SMS,No answer,1.23,1-30
CA-810811,LN-507633,2026-02-21,Call,No answer,29.41,61-90
CA-810812,LN-507633,2026-02-04,Field,Left message,342.82,61-90
CA-810813,LN-507641,2026-02-27,Letter,Refused,51.55,90+
CA-810814,LN-507641,2026-02-12,Field,Left message,361.68,90+
CA-810815,LN-507641,2026-02-03,Field,Partial payment,288.85,90+
CA-810816,LN-507642,2026-02-13,Call,Number unobtainable,25.62,1-30
CA-810817,LN-507644,2026-02-24,Call,Refused,27.65,61-90
CA-810818,LN-507644,2026-02-09,Letter,Number unobtainable,44.5,61-90
CA-810819,LN-507644,2026-02-18,Field,Refused,295.76,61-90
CA-810820,LN-507649,2026-02-14,Call,Refused,29.46,61-90
CA-810821,LN-507655,2026-02-26,Field,No answer,344.98,61-90
CA-810822,LN-507656,2026-02-10,Field,Number unobtainable,301.56,61-90
CA-810823,LN-507656,2026-02-07,Call,Number unobtainable,32.1,61-90
CA-810824,LN-507659,2026-02-21,Field,No answer,325.37,90+
CA-810825,LN-507659,2026-02-12,Field,Number unobtainable,341.76,90+
CA-810826,LN-507659,2026-02-27,Letter,Left message,45.51,90+
CA-810827,LN-507659,2026-02-17,Call,Left message,29.62,90+
CA-810828,LN-507659,2026-02-13,Field,No answer,340.86,90+
CA-810829,LN-507682,2026-02-04,SMS,Left message,1.29,1-30
CA-810830,LN-507720,2026-02-27,Call,Refused,30.07,90+
CA-810831,LN-507720,2026-02-03,Field,Number unobtainable,312.78,90+
CA-810832,LN-507723,2026-02-17,Call,Number unobtainable,28.73,31-60
CA-810833,LN-507723,2026-02-16,SMS,Left message,1.26,31-60
CA-810834,LN-507764,2026-02-15,Call,Refused,23.09,90+
CA-810835,LN-507764,2026-02-19,Call,Left message,26.03,90+
CA-810836,LN-507764,2026-02-05,Call,Refused,28.14,90+
CA-810837,LN-507764,2026-02-18,Call,Paid in full,29.21,90+
CA-810838,LN-507768,2026-02-22,SMS,Refused,1.03,1-30
CA-810839,LN-507785,2026-02-03,SMS,No answer,1.16,31-60
CA-810840,LN-507788,2026-02-20,Letter,Number unobtainable,45.79,61-90
CA-810841,LN-507788,2026-02-11,Call,Number unobtainable,28.55,61-90
CA-810842,LN-507788,2026-02-16,Field,Left message,292.88,61-90
CA-810843,LN-507803,2026-02-11,Call,No answer,25.37,61-90
CA-810844,LN-507803,2026-02-09,Call,Left message,25.12,61-90
CA-810845,LN-507803,2026-02-20,Call,Left message,27.48,61-90
CA-810846,LN-507805,2026-02-13,Call,Left message,27.73,1-30
CA-810847,LN-507820,2026-02-20,Call,Paid in full,31.53,31-60
CA-810848,LN-507826,2026-02-15,Call,Refused,26.05,31-60
CA-810849,LN-507826,2026-02-19,Call,Paid in full,30.09,31-60
CA-810850,LN-507836,2026-02-15,SMS,Left message,1.16,1-30
CA-810851,LN-507847,2026-02-26,Call,Promise to pay,21.4,90+
CA-810852,LN-507847,2026-02-14,Letter,Number unobtainable,50.3,90+
CA-810853,LN-507847,2026-02-17,Call,No answer,22.94,90+
CA-810854,LN-507853,2026-02-19,Field,Left message,307.91,90+
CA-810855,LN-507853,2026-02-17,Field,Left message,295.16,90+
CA-810856,LN-507861,2026-02-15,Call,Number unobtainable,27.05,90+
CA-810857,LN-507861,2026-02-27,Field,Left message,275.43,90+
CA-810858,LN-507863,2026-02-24,Letter,Number unobtainable,43.08,61-90
CA-810859,LN-507863,2026-02-21,Field,No answer,353.64,61-90
CA-810860,LN-507863,2026-02-10,Field,Promise to pay,302.65,61-90
CA-810861,LN-507868,2026-02-28,Call,Number unobtainable,28.2,31-60
CA-810862,LN-507868,2026-02-05,SMS,No answer,1.18,31-60
CA-810863,LN-507874,2026-02-27,Field,No answer,351.77,90+
CA-810864,LN-507874,2026-02-12,Field,Number unobtainable,315.62,90+
CA-810865,LN-507874,2026-02-13,Field,Left message,342.9,90+
CA-810866,LN-507874,2026-02-15,Call,Number unobtainable,28.28,90+
CA-810867,LN-507879,2026-02-12,Field,Refused,303.57,61-90
CA-810868,LN-507879,2026-02-08,Letter,Number unobtainable,44.57,61-90
CA-810869,LN-507896,2026-02-03,Letter,Paid in full,38.38,90+
CA-810870,LN-507896,2026-02-28,Letter,Left message,45.85,90+
CA-810871,LN-507896,2026-02-19,Call,Number unobtainable,31.43,90+
CA-810872,LN-507907,2026-02-17,Call,Refused,29.69,90+
CA-810873,LN-507907,2026-02-10,Call,Left message,25,90+
CA-810874,LN-507907,2026-02-17,Field,Partial payment,312.96,90+
CA-810875,LN-507907,2026-02-20,Call,Partial payment,24.56,90+
CA-810876,LN-507907,2026-02-08,Field,Partial payment,306.26,90+
CA-810877,LN-507908,2026-02-25,Letter,Number unobtainable,42.41,90+
CA-810878,LN-507908,2026-02-28,Call,Partial payment,29.15,90+
CA-810879,LN-507908,2026-02-09,Call,Promise to pay,23.57,90+
CA-810880,LN-507908,2026-02-28,Field,Number unobtainable,267.81,90+
CA-810881,LN-507908,2026-02-20,Call,Number unobtainable,27.89,90+
CA-810882,LN-507917,2026-02-05,SMS,No answer,1.15,1-30
CA-810883,LN-507935,2026-02-03,SMS,Left message,1.29,31-60
CA-810884,LN-507935,2026-02-11,SMS,Left message,1.11,31-60
CA-810885,LN-507940,2026-02-11,SMS,Refused,1.2,31-60
CA-810886,LN-507946,2026-02-14,SMS,Number unobtainable,1.25,1-30
