client_ref,home_branch_code,province,gender,age_band,employment_type,employer_sector,monthly_income_zar,payday_day
CL-111256,SF-CPT,Western Cape,F,35-44,Permanent,Education,21950,30
CL-111257,SF-CPT,Western Cape,M,35-44,Permanent,Manufacturing,17350,30
CL-111258,SF-CPT,Western Cape,M,55-64,Permanent,Healthcare,14300,25
CL-111259,SF-CPT,Western Cape,M,45-54,Permanent,Security,14400,30
CL-111260,SF-CPT,Western Cape,F,18-24,Permanent,Manufacturing,20900,25
CL-111261,SF-CPT,Western Cape,F,35-44,Permanent,Retail,9850,30
CL-111262,SF-CPT,Western Cape,F,35-44,Contract,Transport,13750,30
CL-111263,SF-CPT,Western Cape,F,35-44,Permanent,Healthcare,10750,25
CL-111264,SF-CPT,Western Cape,M,45-54,Government,Education,19800,25
CL-111265,SF-CPT,Western Cape,F,18-24,Permanent,Security,10100,30
CL-111266,SF-CPT,Western Cape,F,55-64,Government,Hospitality,24500,30
CL-111267,SF-CPT,Western Cape,F,25-34,Permanent,Healthcare,9850,30
CL-111268,SF-CPT,Western Cape,M,35-44,Permanent,Construction,6900,30
CL-111269,SF-CPT,Western Cape,F,25-34,Permanent,Retail,11750,25
CL-111270,SF-CPT,Western Cape,M,45-54,Permanent,Hospitality,18800,16
CL-111271,SF-CPT,Western Cape,F,45-54,Permanent,Healthcare,9200,4
CL-111272,SF-CPT,Western Cape,M,35-44,Contract,Retail,17300,25
CL-111273,SF-CPT,Western Cape,F,35-44,Government,Retail,8250,30
CL-111274,SF-CPT,Western Cape,F,35-44,Permanent,Public sector,13450,25
CL-111275,SF-CPT,Western Cape,M,55-64,Permanent,Hospitality,30600,25
CL-111276,SF-CPT,Western Cape,M,35-44,Permanent,Construction,4750,25
CL-111277,SF-CPT,Western Cape,F,25-34,Permanent,Security,7750,14
CL-111278,SF-CPT,Western Cape,F,18-24,Contract,Public sector,10800,13
CL-111279,SF-CPT,Western Cape,M,35-44,Permanent,Transport,27900,25
CL-111280,SF-CPT,Western Cape,M,35-44,Permanent,Construction,9250,2
CL-111281,SF-CPT,Western Cape,F,25-34,Permanent,Security,10250,25
CL-111282,SF-CPT,Western Cape,M,55-64,Pensioner,Mining,4200,25
CL-111283,SF-CPT,Western Cape,F,35-44,Contract,Healthcare,10600,25
CL-111284,SF-CPT,Western Cape,F,25-34,Permanent,Construction,8450,25
CL-111285,SF-CPT,Western Cape,M,35-44,Government,Public sector,9350,25
CL-111286,SF-CPT,Western Cape,M,25-34,Contract,Transport,16950,30
CL-111287,SF-CPT,Western Cape,F,55-64,Contract,Security,13200,25
CL-111288,SF-CPT,Western Cape,F,25-34,Permanent,Public sector,29600,25
CL-111289,SF-CPT,Western Cape,M,18-24,Contract,Construction,11100,25
CL-111290,SF-CPT,Western Cape,F,45-54,Government,Security,12350,25
CL-111291,SF-CPT,Western Cape,F,25-34,Permanent,Transport,17000,25
CL-111292,SF-CPT,Western Cape,M,35-44,Permanent,Security,20650,30
CL-111293,SF-CPT,Western Cape,M,35-44,Contract,Construction,11100,30
CL-111294,SF-CPT,Western Cape,M,35-44,Permanent,Retail,5150,25
CL-111295,SF-CPT,Western Cape,M,35-44,Permanent,Retail,25650,25
CL-111296,SF-CPT,Western Cape,M,25-34,Government,Construction,12650,30
CL-111297,SF-CPT,Western Cape,M,55-64,Contract,Education,5600,25
CL-111298,SF-CPT,Western Cape,F,55-64,Permanent,Manufacturing,16050,25
CL-111299,SF-CPT,Western Cape,M,35-44,Permanent,Education,13600,25
CL-111300,SF-CPT,Western Cape,F,55-64,Contract,Healthcare,13850,15
CL-111301,SF-CPT,Western Cape,F,25-34,Permanent,Public sector,13350,25
CL-111302,SF-CPT,Western Cape,F,18-24,Permanent,Construction,10500,25
CL-111303,SF-CPT,Western Cape,F,35-44,Pensioner,Retail,8700,30
CL-111304,SF-CPT,Western Cape,F,18-24,Permanent,Mining,11600,30
CL-111305,SF-CPT,Western Cape,F,45-54,Contract,Public sector,10350,30
CL-111306,SF-CPT,Western Cape,F,25-34,Contract,Public sector,11300,25
CL-111307,SF-CPT,Western Cape,F,18-24,Contract,Mining,8900,25
CL-111308,SF-CPT,Western Cape,M,25-34,Contract,Construction,4300,30
CL-111309,SF-CPT,Western Cape,F,18-24,Permanent,Education,20900,30
CL-111310,SF-CPT,Western Cape,F,25-34,Contract,Education,5800,30
CL-111311,SF-CPT,Western Cape,M,35-44,Contract,Healthcare,15550,25
CL-111312,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,4950,28
CL-111313,SF-CPT,Western Cape,F,18-24,Permanent,Hospitality,11300,25
CL-111314,SF-CPT,Western Cape,F,18-24,Pensioner,Manufacturing,9500,30
CL-111315,SF-CPT,Western Cape,F,35-44,Permanent,Manufacturing,10050,25
CL-111316,SF-CPT,Western Cape,F,25-34,Permanent,Construction,15200,25
CL-111317,SF-CPT,Western Cape,F,35-44,Contract,Security,12700,25
CL-111318,SF-CPT,Western Cape,M,25-34,Government,Security,20050,27
CL-111319,SF-CPT,Western Cape,M,25-34,Pensioner,Security,19300,4
CL-111320,SF-CPT,Western Cape,M,55-64,Permanent,Hospitality,5350,25
CL-111321,SF-CPT,Western Cape,F,55-64,Permanent,Retail,8550,25
CL-111322,SF-CPT,Western Cape,F,25-34,Government,Mining,20850,25
CL-111323,SF-CPT,Western Cape,M,25-34,Permanent,Education,9300,30
CL-111324,SF-CPT,Western Cape,F,35-44,Permanent,Retail,10900,25
CL-111325,SF-CPT,Western Cape,M,55-64,Permanent,Construction,14750,30
CL-111326,SF-CPT,Western Cape,F,35-44,Permanent,Hospitality,14250,25
CL-111327,SF-CPT,Western Cape,F,55-64,Permanent,Education,12650,30
CL-111328,SF-CPT,Western Cape,F,25-34,Permanent,Hospitality,21250,25
CL-111329,SF-CPT,Western Cape,F,35-44,Contract,Mining,17650,25
CL-111330,SF-CPT,Western Cape,F,35-44,Permanent,Security,12700,25
CL-111331,SF-CPT,Western Cape,M,25-34,Permanent,Construction,20250,25
CL-111332,SF-CPT,Western Cape,F,25-34,Permanent,Transport,11600,25
CL-111333,SF-CPT,Western Cape,F,25-34,Contract,Education,9400,30
CL-111334,SF-CPT,Western Cape,M,55-64,Permanent,Manufacturing,14650,30
CL-111335,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,12000,25
CL-111336,SF-CPT,Western Cape,F,18-24,Permanent,Mining,4200,30
CL-111337,SF-CPT,Western Cape,F,35-44,Contract,Hospitality,11300,30
CL-111338,SF-CPT,Western Cape,F,25-34,Permanent,Security,4200,25
CL-111339,SF-CPT,Western Cape,M,55-64,Permanent,Mining,8950,30
CL-111340,SF-CPT,Western Cape,F,18-24,Pensioner,Hospitality,13850,25
CL-111341,SF-CPT,Western Cape,M,25-34,Permanent,Security,4450,6
CL-111342,SF-CPT,Western Cape,M,18-24,Contract,Mining,13400,25
CL-111343,SF-CPT,Western Cape,F,55-64,Permanent,Construction,15600,25
CL-111344,SF-CPT,Western Cape,F,18-24,Permanent,Construction,14750,25
CL-111345,SF-CPT,Western Cape,F,25-34,Permanent,Education,7050,30
CL-111346,SF-CPT,Western Cape,F,35-44,Permanent,Retail,22000,25
CL-111347,SF-CPT,Western Cape,F,35-44,Permanent,Transport,11100,25
CL-111348,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,8100,30
CL-111349,SF-CPT,Western Cape,F,45-54,Contract,Hospitality,15500,30
CL-111350,SF-CPT,Western Cape,F,45-54,Permanent,Construction,15400,25
CL-111351,SF-CPT,Western Cape,M,35-44,Permanent,Construction,4200,30
CL-111352,SF-CPT,Western Cape,F,25-34,Permanent,Construction,6700,25
CL-111353,SF-CPT,Western Cape,M,55-64,Permanent,Hospitality,9150,25
CL-111354,SF-CPT,Western Cape,F,55-64,Permanent,Public sector,13050,30
CL-111355,SF-CPT,Western Cape,M,35-44,Permanent,Transport,22650,25
CL-111356,SF-CPT,Western Cape,M,45-54,Permanent,Transport,7150,25
CL-111357,SF-CPT,Western Cape,M,45-54,Permanent,Mining,6950,25
CL-111358,SF-CPT,Western Cape,F,55-64,Permanent,Transport,11100,25
CL-111359,SF-CPT,Western Cape,M,35-44,Contract,Public sector,10650,25
CL-111360,SF-CPT,Western Cape,F,18-24,Permanent,Healthcare,7600,30
CL-111361,SF-CPT,Western Cape,M,55-64,Permanent,Public sector,11800,25
CL-111362,SF-CPT,Western Cape,M,18-24,Government,Retail,14550,30
CL-111363,SF-CPT,Western Cape,M,35-44,Permanent,Public sector,13950,25
CL-111364,SF-CPT,Western Cape,M,55-64,Permanent,Construction,16500,25
CL-111365,SF-CPT,Western Cape,F,35-44,Contract,Mining,15550,30
CL-111366,SF-CPT,Western Cape,F,35-44,Contract,Mining,8050,25
CL-111367,SF-CPT,Western Cape,F,55-64,Permanent,Manufacturing,4950,30
CL-111368,SF-CPT,Western Cape,F,35-44,Government,Transport,12500,30
CL-111369,SF-CPT,Western Cape,F,25-34,Permanent,Manufacturing,14450,25
CL-111370,SF-CPT,Western Cape,M,35-44,Contract,Healthcare,12100,25
CL-111371,SF-CPT,Western Cape,M,18-24,Contract,Healthcare,18900,30
CL-111372,SF-CPT,Western Cape,F,18-24,Permanent,Manufacturing,7650,30
CL-111373,SF-CPT,Western Cape,F,25-34,Contract,Hospitality,17050,25
CL-111374,SF-CPT,Western Cape,F,25-34,Contract,Mining,4200,25
CL-111375,SF-CPT,Western Cape,M,55-64,Permanent,Mining,27950,30
CL-111376,SF-CPT,Western Cape,F,25-34,Permanent,Public sector,13750,25
CL-111377,SF-CPT,Western Cape,F,35-44,Permanent,Retail,13050,25
CL-111378,SF-CPT,Western Cape,F,25-34,Contract,Mining,14500,25
CL-111379,SF-CPT,Western Cape,M,35-44,Permanent,Education,5200,3
CL-111380,SF-CPT,Western Cape,F,25-34,Pensioner,Public sector,13750,25
CL-111381,SF-CPT,Western Cape,F,35-44,Permanent,Hospitality,17550,25
CL-111382,SF-CPT,Western Cape,F,18-24,Permanent,Manufacturing,10950,30
CL-111383,SF-CPT,Western Cape,M,18-24,Contract,Hospitality,16850,16
CL-111384,SF-CPT,Western Cape,F,25-34,Permanent,Security,12950,30
CL-111385,SF-CPT,Western Cape,F,45-54,Permanent,Security,6600,30
CL-111386,SF-CPT,Western Cape,F,35-44,Permanent,Healthcare,17500,30
CL-111387,SF-CPT,Western Cape,F,25-34,Permanent,Mining,7700,25
CL-111388,SF-CPT,Western Cape,F,35-44,Government,Construction,12900,25
CL-111389,SF-CPT,Western Cape,F,18-24,Permanent,Construction,11500,25
CL-111390,SF-CPT,Western Cape,F,45-54,Permanent,Hospitality,5200,25
CL-111391,SF-CPT,Western Cape,F,25-34,Permanent,Healthcare,18400,25
CL-111392,SF-CPT,Western Cape,F,25-34,Permanent,Healthcare,6100,30
CL-111393,SF-CPT,Western Cape,M,18-24,Contract,Mining,24400,30
CL-111394,SF-CPT,Western Cape,M,25-34,Permanent,Mining,29000,25
CL-111395,SF-CPT,Western Cape,F,25-34,Permanent,Mining,11550,30
CL-111396,SF-CPT,Western Cape,F,35-44,Permanent,Education,8150,25
CL-111397,SF-CPT,Western Cape,M,35-44,Contract,Manufacturing,13400,25
CL-111398,SF-CPT,Western Cape,F,18-24,Government,Security,22200,25
CL-111399,SF-CPT,Western Cape,M,25-34,Permanent,Public sector,10250,25
CL-111400,SF-CPT,Western Cape,F,18-24,Permanent,Public sector,20900,25
CL-111401,SF-CPT,Western Cape,F,25-34,Government,Mining,8000,25
CL-111402,SF-CPT,Western Cape,F,25-34,Contract,Healthcare,14050,25
CL-111403,SF-CPT,Western Cape,F,45-54,Government,Mining,13600,25
CL-111404,SF-CPT,Western Cape,F,25-34,Permanent,Construction,17150,25
CL-111405,SF-CPT,Western Cape,F,25-34,Permanent,Healthcare,10400,11
CL-111406,SF-CPT,Western Cape,M,25-34,Permanent,Public sector,10950,25
CL-111407,SF-CPT,Western Cape,M,25-34,Contract,Manufacturing,5750,25
CL-111408,SF-CPT,Western Cape,F,45-54,Permanent,Construction,7650,30
CL-111409,SF-CPT,Western Cape,M,35-44,Contract,Healthcare,4850,25
CL-111410,SF-CPT,Western Cape,F,35-44,Permanent,Retail,7650,25
CL-111411,SF-CPT,Western Cape,M,18-24,Permanent,Transport,13550,30
CL-111412,SF-CPT,Western Cape,F,35-44,Contract,Transport,5850,30
CL-111413,SF-CPT,Western Cape,M,18-24,Permanent,Manufacturing,32100,21
CL-111414,SF-CPT,Western Cape,F,18-24,Permanent,Mining,4200,25
CL-111415,SF-CPT,Western Cape,M,45-54,Permanent,Mining,19150,13
CL-111416,SF-CPT,Western Cape,F,18-24,Permanent,Mining,14400,25
CL-111417,SF-CPT,Western Cape,M,55-64,Contract,Hospitality,14950,25
CL-111418,SF-CPT,Western Cape,M,35-44,Contract,Mining,9550,25
CL-111419,SF-CPT,Western Cape,M,18-24,Government,Manufacturing,20700,25
CL-111420,SF-CPT,Western Cape,M,35-44,Permanent,Construction,18250,25
CL-111421,SF-CPT,Western Cape,M,35-44,Permanent,Transport,16100,25
CL-111422,SF-CPT,Western Cape,M,35-44,Contract,Public sector,24400,25
CL-111423,SF-CPT,Western Cape,F,18-24,Permanent,Education,19750,25
CL-111424,SF-CPT,Western Cape,F,35-44,Permanent,Hospitality,9900,25
CL-111425,SF-CPT,Western Cape,F,18-24,Permanent,Mining,13100,25
CL-111426,SF-CPT,Western Cape,F,18-24,Pensioner,Construction,4900,16
CL-111427,SF-CPT,Western Cape,M,25-34,Contract,Healthcare,11800,25
CL-111428,SF-CPT,Western Cape,M,55-64,Pensioner,Retail,21600,30
CL-111429,SF-CPT,Western Cape,M,55-64,Permanent,Transport,17250,25
CL-111430,SF-CPT,Western Cape,F,55-64,Permanent,Mining,14000,30
CL-111431,SF-CPT,Western Cape,F,45-54,Permanent,Security,27500,25
CL-111432,SF-CPT,Western Cape,F,35-44,Contract,Transport,10050,30
CL-111433,SF-CPT,Western Cape,F,25-34,Permanent,Transport,17800,26
CL-111434,SF-CPT,Western Cape,M,35-44,Permanent,Security,7850,30
CL-111435,SF-CPT,Western Cape,M,35-44,Permanent,Education,15650,25
CL-111436,SF-CPT,Western Cape,M,18-24,Government,Construction,7800,25
CL-111437,SF-CPT,Western Cape,M,25-34,Permanent,Mining,12050,28
CL-111438,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,22750,25
CL-111439,SF-CPT,Western Cape,M,35-44,Government,Construction,14950,25
CL-111440,SF-CPT,Western Cape,F,55-64,Permanent,Hospitality,10100,23
CL-111441,SF-CPT,Western Cape,M,18-24,Government,Education,10600,30
CL-111442,SF-CPT,Western Cape,M,35-44,Permanent,Security,13200,25
CL-111443,SF-CPT,Western Cape,F,35-44,Permanent,Education,17400,25
CL-111444,SF-CPT,Western Cape,M,35-44,Permanent,Manufacturing,7850,30
CL-111445,SF-CPT,Western Cape,F,45-54,Permanent,Education,6600,11
CL-111446,SF-CPT,Western Cape,F,25-34,Contract,Public sector,7000,22
CL-111447,SF-CPT,Western Cape,M,25-34,Contract,Retail,6850,13
CL-111448,SF-CPT,Western Cape,M,35-44,Government,Public sector,18650,25
CL-111449,SF-CPT,Western Cape,F,25-34,Contract,Retail,13550,25
CL-111450,SF-CPT,Western Cape,M,35-44,Contract,Manufacturing,10200,25
CL-111451,SF-CPT,Western Cape,M,45-54,Permanent,Education,11250,25
CL-111452,SF-CPT,Western Cape,F,55-64,Permanent,Hospitality,11050,12
CL-111453,SF-CPT,Western Cape,M,25-34,Contract,Healthcare,12600,30
CL-111454,SF-CPT,Western Cape,F,35-44,Permanent,Manufacturing,10150,11
CL-111455,SF-CPT,Western Cape,F,25-34,Permanent,Mining,12100,13
CL-111456,SF-CPT,Western Cape,M,25-34,Permanent,Manufacturing,8000,25
CL-111457,SF-CPT,Western Cape,F,35-44,Permanent,Retail,6150,30
CL-111458,SF-CPT,Western Cape,F,55-64,Contract,Security,13800,25
CL-111459,SF-CPT,Western Cape,F,25-34,Contract,Manufacturing,17300,25
CL-111460,SF-CPT,Western Cape,M,25-34,Permanent,Construction,26450,25
CL-111461,SF-CPT,Western Cape,M,35-44,Contract,Public sector,11850,25
CL-111462,SF-CPT,Western Cape,F,25-34,Contract,Hospitality,5900,30
CL-111463,SF-CPT,Western Cape,M,55-64,Government,Education,12600,25
CL-111464,SF-CPT,Western Cape,F,25-34,Pensioner,Manufacturing,12100,25
CL-111465,SF-CPT,Western Cape,F,25-34,Permanent,Mining,6750,30
CL-111466,SF-CPT,Western Cape,M,35-44,Permanent,Public sector,4350,25
CL-111467,SF-CPT,Western Cape,F,35-44,Contract,Transport,36550,25
CL-111468,SF-CPT,Western Cape,F,35-44,Government,Transport,19600,25
CL-111469,SF-CPT,Western Cape,M,25-34,Contract,Hospitality,6450,30
CL-111470,SF-CPT,Western Cape,F,25-34,Permanent,Public sector,8550,25
CL-111471,SF-CPT,Western Cape,M,35-44,Permanent,Construction,10200,25
CL-111472,SF-CPT,Western Cape,F,35-44,Permanent,Public sector,15400,25
CL-111473,SF-CPT,Western Cape,F,25-34,Government,Public sector,15700,25
CL-111474,SF-CPT,Western Cape,F,55-64,Government,Hospitality,10900,25
CL-111475,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,16850,25
CL-111476,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,6300,25
CL-111477,SF-CPT,Western Cape,F,25-34,Permanent,Public sector,8000,25
CL-111478,SF-CPT,Western Cape,F,55-64,Permanent,Mining,8650,25
CL-111479,SF-CPT,Western Cape,F,55-64,Government,Security,16900,25
CL-111480,SF-CPT,Western Cape,F,25-34,Permanent,Security,10600,5
CL-111481,SF-CPT,Western Cape,F,35-44,Permanent,Healthcare,6900,25
CL-111482,SF-CPT,Western Cape,M,45-54,Government,Education,18450,30
CL-111483,SF-CPT,Western Cape,M,55-64,Permanent,Retail,4200,30
CL-111484,SF-CPT,Western Cape,F,45-54,Permanent,Hospitality,11150,30
CL-111485,SF-CPT,Western Cape,F,35-44,Contract,Security,6800,25
CL-111486,SF-CPT,Western Cape,F,55-64,Permanent,Transport,18000,25
CL-111487,SF-CPT,Western Cape,F,18-24,Permanent,Healthcare,10250,25
CL-111488,SF-CPT,Western Cape,M,18-24,Contract,Construction,11900,30
CL-111489,SF-CPT,Western Cape,F,35-44,Permanent,Security,25300,30
CL-111490,SF-CPT,Western Cape,F,25-34,Contract,Transport,8800,25
CL-111491,SF-CPT,Western Cape,F,35-44,Permanent,Education,10350,25
CL-111492,SF-CPT,Western Cape,F,25-34,Permanent,Security,24400,25
CL-111493,SF-CPT,Western Cape,F,35-44,Permanent,Healthcare,5900,25
CL-111494,SF-CPT,Western Cape,M,35-44,Permanent,Construction,9050,25
CL-111495,SF-CPT,Western Cape,M,35-44,Government,Education,13050,25
CL-111496,SF-CPT,Western Cape,F,55-64,Contract,Public sector,10700,25
CL-111497,SF-CPT,Western Cape,F,18-24,Permanent,Hospitality,13700,30
CL-111498,SF-CPT,Western Cape,F,18-24,Contract,Hospitality,10050,25
CL-111499,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,5150,25
CL-111500,SF-CPT,Western Cape,F,45-54,Contract,Education,9750,14
CL-111501,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,12700,25
CL-111502,SF-CPT,Western Cape,F,25-34,Permanent,Construction,13900,25
CL-111503,SF-CPT,Western Cape,F,18-24,Contract,Public sector,11400,25
CL-111504,SF-CPT,Western Cape,F,25-34,Pensioner,Mining,12050,25
CL-111505,SF-CPT,Western Cape,F,18-24,Permanent,Security,21350,30
CL-111506,SF-CPT,Western Cape,F,35-44,Permanent,Transport,6200,25
CL-111507,SF-CPT,Western Cape,M,25-34,Permanent,Public sector,9650,25
CL-111508,SF-CPT,Western Cape,M,35-44,Permanent,Public sector,10250,4
CL-111509,SF-CPT,Western Cape,M,35-44,Permanent,Mining,6800,25
CL-111510,SF-CPT,Western Cape,F,35-44,Contract,Education,7000,25
CL-111511,SF-CPT,Western Cape,F,35-44,Pensioner,Hospitality,19950,25
CL-111512,SF-CPT,Western Cape,M,18-24,Contract,Retail,4250,25
CL-111513,SF-CPT,Western Cape,M,25-34,Permanent,Healthcare,8050,25
CL-111514,SF-CPT,Western Cape,F,25-34,Permanent,Security,12100,25
CL-111515,SF-CPT,Western Cape,F,35-44,Government,Public sector,11850,30
CL-111516,SF-CPT,Western Cape,F,25-34,Contract,Manufacturing,5950,25
CL-111517,SF-CPT,Western Cape,F,45-54,Permanent,Mining,7750,25
CL-111518,SF-CPT,Western Cape,F,45-54,Permanent,Retail,10700,30
CL-111519,SF-CPT,Western Cape,M,55-64,Permanent,Education,16050,30
CL-111520,SF-CPT,Western Cape,M,25-34,Contract,Security,18600,25
CL-111521,SF-CPT,Western Cape,F,55-64,Permanent,Hospitality,6500,30
CL-111522,SF-CPT,Western Cape,F,35-44,Permanent,Public sector,19600,28
CL-111523,SF-CPT,Western Cape,F,25-34,Permanent,Retail,21250,25
CL-111524,SF-CPT,Western Cape,F,25-34,Permanent,Healthcare,17950,25
CL-111525,SF-CPT,Western Cape,F,35-44,Permanent,Hospitality,26400,25
CL-111526,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,8350,30
CL-111527,SF-CPT,Western Cape,F,35-44,Government,Healthcare,29350,25
CL-111528,SF-CPT,Western Cape,M,55-64,Permanent,Security,7350,25
CL-111529,SF-CPT,Western Cape,M,35-44,Permanent,Retail,18350,2
CL-111530,SF-CPT,Western Cape,M,35-44,Permanent,Public sector,13200,30
CL-111531,SF-CPT,Western Cape,M,25-34,Contract,Education,13850,25
CL-111532,SF-CPT,Western Cape,F,35-44,Permanent,Security,9650,30
CL-111533,SF-CPT,Western Cape,M,35-44,Pensioner,Security,11500,25
CL-111534,SF-CPT,Western Cape,F,55-64,Pensioner,Hospitality,5700,30
CL-111535,SF-CPT,Western Cape,F,45-54,Permanent,Retail,11450,25
CL-111536,SF-CPT,Western Cape,F,25-34,Contract,Construction,4450,19
CL-111537,SF-CPT,Western Cape,F,35-44,Permanent,Public sector,6750,25
CL-111538,SF-CPT,Western Cape,F,55-64,Permanent,Public sector,8950,25
CL-111539,SF-CPT,Western Cape,M,25-34,Government,Healthcare,32500,30
CL-111540,SF-CPT,Western Cape,F,25-34,Contract,Healthcare,8450,30
CL-111541,SF-CPT,Western Cape,F,45-54,Permanent,Manufacturing,7750,25
CL-111542,SF-CPT,Western Cape,M,18-24,Permanent,Transport,5800,25
CL-111543,SF-CPT,Western Cape,M,25-34,Government,Hospitality,9700,30
CL-111544,SF-CPT,Western Cape,M,45-54,Pensioner,Manufacturing,24600,25
CL-111545,SF-CPT,Western Cape,F,18-24,Government,Construction,5300,25
CL-111546,SF-CPT,Western Cape,F,35-44,Permanent,Education,4750,25
CL-111547,SF-CPT,Western Cape,M,25-34,Government,Healthcare,4800,19
CL-111548,SF-CPT,Western Cape,M,55-64,Permanent,Public sector,12200,25
CL-111549,SF-CPT,Western Cape,M,18-24,Permanent,Hospitality,17500,25
CL-111550,SF-CPT,Western Cape,M,25-34,Permanent,Retail,9850,30
CL-111551,SF-CPT,Western Cape,M,35-44,Permanent,Construction,26900,30
CL-111552,SF-CPT,Western Cape,M,45-54,Permanent,Education,16600,25
CL-111553,SF-CPT,Western Cape,F,18-24,Permanent,Construction,18600,25
CL-111554,SF-CPT,Western Cape,M,45-54,Contract,Transport,4200,30
CL-111555,SF-CPT,Western Cape,M,55-64,Pensioner,Retail,8500,25
CL-111556,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,10700,30
CL-111557,SF-CPT,Western Cape,M,45-54,Permanent,Manufacturing,5550,25
CL-111558,SF-CPT,Western Cape,M,55-64,Permanent,Public sector,22100,25
CL-111559,SF-CPT,Western Cape,M,35-44,Pensioner,Healthcare,6250,7
CL-111560,SF-CPT,Western Cape,F,35-44,Permanent,Security,7000,30
CL-111561,SF-CPT,Western Cape,F,18-24,Government,Healthcare,8400,25
CL-111562,SF-CPT,Western Cape,M,35-44,Government,Public sector,9700,25
CL-111563,SF-CPT,Western Cape,M,45-54,Contract,Transport,17300,30
CL-111564,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,6950,25
CL-111565,SF-CPT,Western Cape,M,35-44,Government,Security,14750,30
CL-111566,SF-CPT,Western Cape,F,55-64,Permanent,Transport,5950,16
CL-111567,SF-CPT,Western Cape,F,55-64,Government,Manufacturing,13200,30
CL-111568,SF-CPT,Western Cape,F,35-44,Permanent,Retail,17700,25
CL-111569,SF-CPT,Western Cape,M,18-24,Permanent,Security,4850,25
CL-111570,SF-CPT,Western Cape,M,35-44,Permanent,Hospitality,6400,25
CL-111571,SF-CPT,Western Cape,M,35-44,Contract,Manufacturing,8300,30
CL-111572,SF-CPT,Western Cape,F,35-44,Permanent,Public sector,12050,25
CL-111573,SF-CPT,Western Cape,F,45-54,Permanent,Hospitality,19000,25
CL-111574,SF-CPT,Western Cape,F,25-34,Permanent,Retail,7550,30
CL-111575,SF-CPT,Western Cape,M,45-54,Permanent,Mining,4200,3
CL-111576,SF-CPT,Western Cape,F,55-64,Contract,Mining,5700,25
CL-111577,SF-CPT,Western Cape,M,35-44,Permanent,Manufacturing,24450,25
CL-111578,SF-CPT,Western Cape,F,25-34,Permanent,Retail,7500,25
CL-111579,SF-CPT,Western Cape,F,18-24,Permanent,Construction,9100,25
CL-111580,SF-CPT,Western Cape,F,25-34,Permanent,Transport,11750,25
CL-111581,SF-CPT,Western Cape,M,18-24,Permanent,Construction,17500,25
CL-111582,SF-CPT,Western Cape,F,35-44,Pensioner,Healthcare,19900,25
CL-111583,SF-CPT,Western Cape,F,25-34,Permanent,Construction,26250,30
CL-111584,SF-CPT,Western Cape,M,35-44,Government,Healthcare,4200,17
CL-111585,SF-CPT,Western Cape,M,45-54,Contract,Construction,4500,30
CL-111586,SF-CPT,Western Cape,F,35-44,Permanent,Construction,13250,25
CL-111587,SF-CPT,Western Cape,F,18-24,Permanent,Manufacturing,14950,25
CL-111588,SF-CPT,Western Cape,F,18-24,Permanent,Security,8000,25
CL-111589,SF-CPT,Western Cape,M,25-34,Permanent,Mining,9900,25
CL-111590,SF-CPT,Western Cape,M,35-44,Permanent,Manufacturing,8550,30
CL-111591,SF-CPT,Western Cape,F,25-34,Permanent,Construction,9100,25
CL-111592,SF-CPT,Western Cape,M,25-34,Permanent,Transport,22450,30
CL-111593,SF-CPT,Western Cape,M,55-64,Permanent,Healthcare,8850,25
CL-111594,SF-CPT,Western Cape,M,35-44,Contract,Manufacturing,11600,25
CL-111595,SF-CPT,Western Cape,F,25-34,Contract,Public sector,6200,25
CL-111596,SF-CPT,Western Cape,M,35-44,Contract,Security,8550,25
CL-111597,SF-CPT,Western Cape,M,18-24,Permanent,Mining,11500,23
CL-111598,SF-CPT,Western Cape,F,25-34,Permanent,Mining,10150,30
CL-111599,SF-CPT,Western Cape,F,55-64,Permanent,Retail,12750,11
CL-111600,SF-CPT,Western Cape,M,35-44,Pensioner,Hospitality,17000,30
CL-111601,SF-CPT,Western Cape,M,45-54,Government,Healthcare,14900,20
CL-111602,SF-CPT,Western Cape,F,18-24,Permanent,Retail,20900,25
CL-111603,SF-CPT,Western Cape,F,35-44,Permanent,Transport,6250,30
CL-111604,SF-CPT,Western Cape,M,35-44,Permanent,Healthcare,15150,25
CL-111605,SF-CPT,Western Cape,F,45-54,Contract,Education,6950,30
CL-111606,SF-CPT,Western Cape,M,25-34,Permanent,Retail,21600,25
CL-111607,SF-CPT,Western Cape,M,35-44,Permanent,Security,6600,25
CL-111608,SF-CPT,Western Cape,F,25-34,Permanent,Hospitality,6550,25
CL-111609,SF-CPT,Western Cape,M,35-44,Contract,Education,7600,30
CL-111610,SF-CPT,Western Cape,F,55-64,Permanent,Hospitality,35350,25
